"RAZÃO SOCIAL";"NOME FANTASIA";"CNPJ";"NATUREZA JURIDICA";"DATA INICIO OPERAÇÃO";"PORTE";"SITUAÇÃO";"TIPO ATIVIDADE";"SUBTIPO ATIVIDADE";"CEP";"UF";"LOCALIDADE";"BAIRRO";"LOGRADOURO";"TELEFONE";"FAX";"E-MAIL2";"E-MAIL3";"SITE";"CÓDIGO CERTIFICADO";"CÓDIGO E DESCRIÇÃO CNAE";"SERVIÇOS";"SEGMENTOS TURISTICOS";"LINGUAS"
CAVALGADA ECOLÓGICA S/A;FJORDLAND - CAVALGADA ECOLÓGICA PEDRA AZUL;"10.367.285/0001-57";Sociedade Empresária;"18/09/2008";Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Venda ou Locação de Produtos e Equipamentos;29.278.000;ES;Aracê;Aracê;RODOVIA ANGELO GIRARDI, KM 2,2 - ROTA DO LAGARTO  PEDRA AZUL;(27) 3248-0076;(27) 3248-0054;jorge@cavalgadapedraazul.com.br;fabricia@cavalgadapedraazul.com.br;www.fjordland.com.br;"08.032361.75.0001-7";"5611-2/01-RESTAURANTES E SIMILARES (Primário), 4789-0/01-ARTIGOS DE ARTESANATO; COMÉRCIO VAREJISTA (Secundário), 9329-8/99-OUTRAS ATIVIDADES DE RECREAÇÃO E LAZER NÃO ESPECIFICADAS ANTERIORMENTE     (Secundário)";Venda de Artigos de Artesanato;Ecoturismo,Turismo de Aventura,Turismo Rural;Inglês
LUCIANA CERQUEIRA LIMA  RODRIGUES DA CUNHA;REGÊNCIA ECOTUR;"11.931.550/0001-40";Sociedade Empresária;"12/09/2009";Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Operação de Serviços Especializados;29.914.050;ES;Linhares;Regência;RUA PRINCIPAL, S/N;(27) 9932-9478;(27) 3274-1240;fabio@regenciaecotur.com.br;contato@reenciaecotur.com.br;www.regenciatour.com.br;"08.036230.75.0001-3";"7911-2/00-PLANEJAMENTO, ASSESSORAMENTO E ORGANIZAÇÃO DE VIAGENS (Primário)";Caminhadas ,Observação da fauna ,Visitas as atividades agropecuárias/de transformação das propriedades rurais ,Canoagem ,Passeios em barcos e lanchas;Ecoturismo,Turismo de Aventura,Turismo de Sol e Praia;Nenhuma das Opções
VANIA SCHAFER 08872494850;VANIA CONSULTORIA DE TURISMO;"24.310.990/0001-22";Microempreendedor Individual (MEI);;Mei;Em Operação;Prestador Especializado em Segmentos Turísticos;Serviços de Consultoria;5.436.010;SP;São Paulo;Jardim das Bandeiras;R PATAPIO SILVA, 223;(11) 3813-2815;;vaniaschafer1@gmail.com;;;"26.080870.75.0001-0";"7990-2/00-SERVIÇOS DE RESERVAS E OUTROS SERVIÇOS DE TURISMO NÃO ESPECIFICADOS ANTERIORMENTE  (Primário)";Serviços de Gestão, Assessoria, Consultoria, Orientação e Assistência Prestados em Projetos Turísticos;Turismo Cultural;Nenhuma das Opções
TERRA DOS SONHOS EMPREENDIMENTOS TURÍSTICOS LTDA - ME;HOTEL FAZENDA TERRA DOS SONHOS;"20.441.413/0001-19";Sociedade Empresária;;Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Operação de Serviços Especializados;37.578.000;MG;Bueno Brandão;Bueno Brandão;COM BAIRRO DA MALACACHETA, S/N;(35) 3463-1087;;marketing@terradossonhos.com.br;;www.altariaviagens.com.br;"11.087898.75.0001-3";"5510-8/01-HOTEL (Primário), 5611-2/01-SELF-SERVICE; SERVIÇO DE ALIMENTAÇÃO (Secundário), 9329-8/99-OUTRAS ATIVIDADES DE RECREAÇÃO E LAZER NÃO ESPECIFICADAS ANTERIORMENTE     (Secundário)";Turismo Gastronômico (ou visitas gastronômicas);Ecoturismo,Turismo Cultural;Nenhuma das Opções
ANDRESSA FREITAS DOS SANTOS 24756290884;RBR TUR;"26.315.294/0001-34";Microempreendedor Individual (MEI);;Mei;Em Operação;Prestador Especializado em Segmentos Turísticos;Operação de Serviços Especializados;11.940.000;SP;Jacupiranga;Jacupiranga;RUA EMBUZEIRO, N°60 ;(13) 99615-9681;;vsp_00@hotmail.com;dessajac@hotmail.com;;"26.086832.75.0001-7";"7990-2/00-SERVIÇOS DE RESERVAS E OUTROS SERVIÇOS DE TURISMO NÃO ESPECIFICADOS ANTERIORMENTE  (Primário)";Passeios em barcos e lanchas ,Turismo Religioso (ou visitas a espaços e eventos religiosos) ,Turismo Gastronômico (ou visitas gastronômicas) ,Passeios para estâncias hidrominerais, spas, balneários, resort, clínicas naturalistas;Ecoturismo,Turismo Cultural,Turismo de Sol e Praia;Espanhol
RAFAEL FERREIRA LEITE 34515732889;WANDERLUST - OFFROAD & ADVENTURES;"28.424.878/0001-73";Microempreendedor Individual (MEI);;Mei;Em Operação;Prestador Especializado em Segmentos Turísticos;Operação de Serviços Especializados;12.830.000;SP;São José do Barreiro;São José do Barreiro;RUA TENENTE MAGALHAES 30 ;(12) 99706-7409;;wanderlust4x4@outlook.com;;;"26.090023.75.0001-0";"7911-2/00-AGÊNCIA DE VIAGEM; SERVIÇO DE (Primário), 4929-9/01-TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, MUNICIPAL (Secundário), 7990-2/00-SERVIÇOS DE RESERVAS E OUTROS SERVIÇOS DE TURISMO NÃO ESPECIFICADOS ANTERIORMENTE  (Secundário), 7912-1/00-OPERADORES TURÍSTICOS (Secundário), 8230-0/01-SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS. (Secundário)";Caminhadas ,Escalada ,Turismo fora de estrada em veículos 4 X 4 ou bugue ,Montanhismo;Ecoturismo,Turismo de Aventura,Turismo Rural;Nenhuma das Opções
BORA FOTOGRAFIA LTDA - ME;BORA FOTOGRAFIA;"27.060.224/0001-45";Sociedade Empresária;;Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Operação de Serviços Especializados;45.530.000;BA;Itacaré;Centro;RUA PEDRO LONGO, 479;(73) 99966-2171;;matiasnicolasrocco@gmail.com;;borafotografia.com;"05.091993.75.0001-5";"7990-2/00-TURISMO; SERVIÇOS DE INFORMAÇÃO E ASSISTÊNCIA AO (Primário)";Passeios em barcos e lanchas ,Turismo Cinematográfico;;Espanhol ,Inglês
INTERCAMBIO EF LTDA - ME;EF BH;"28.419.183/0001-01";Sociedade Empresária;;Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Operação de Serviços Especializados;30.130.913;MG;Belo Horizonte;Funcionários;R ALAGOAS 1314 SALA 8;(31) 3582-9257;;cissagob@yahoo.com.br;;;"11.090289.75.0001-3";"8550-3/02-GESTÃO, ASSESSORIA, CONSULTORIA, ORIENTAÇÃO E ASSISTÊNCIA PRESTADOS AO SISTEMA E AO PROCESSO EDUCACIONAL; SERVIÇOS DE (Primário), 7912-1/00-ORGANIZADORES DE VIAGEM; SERVIÇOS DE (Secundário), 7990-2/00-AGÊNCIA DE VENDA DE INGRESSOS PARA TEATROS, CINEMAS E OUTRAS ATIVIDADES ARTÍSTICAS (Secundário), 7911-2/00-PACOTES DE VIAGEM MARÍTIMA; VENDA DE (Secundário)";Passeios para estâncias hidrominerais, spas, balneários, resort, clínicas naturalistas;Turismo de Negócios e Eventos,Turismo de Sol e Praia,Estudos e Intercâmbio;Espanhol ,Inglês
ESTAÇÃO HISTÓRIA CULTURA E PATRIMÔNIO LTDA. - EPP;ESTAÇÃO HISTÓRIA;"02.719.434/0001-71";Sociedade Empresária;;Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Operação de Serviços Especializados;3.303.000;SP;São Paulo;Quarta Parada;RUA PADRE ADELINO, 1095 - CASA 02 ;(11) 2605-4882;(11) 2605-4882;contato@estacaohistoria.com.br;estacaohistoria@uol.com.br;www.estacaohistoria.com.br;"26.061563.75.0001-7";"8550-3/02-ATIVIDADES DE APOIO À EDUCAÇÃO; GESTÃO, ASSESSORIA, CONSULTORIA, ORIENTAÇÃO E ASSISTÊNCIA (Primário), 7990-2/00-TURISMO LOCAL; PROMOÇÃO DE (Secundário), 7990-2/00-TURISMO; SERVIÇOS DE INFORMAÇÃO E ASSISTÊNCIA AO (Secundário), 8550-3/02-GESTÃO, ASSESSORIA, CONSULTORIA, ORIENTAÇÃO E ASSISTÊNCIA PRESTADOS AO SISTEMA E AO PROCESSO EDUCACIONAL; SERVIÇOS DE (Secundário), 8550-3/02-CONSULTORIA EM EDUCAÇÃO (Secundário), 9329-8/99-OUTRAS ATIVIDADES DE RECREAÇÃO E LAZER NÃO ESPECIFICADAS ANTERIORMENTE     (Secundário), 7490-1/99-ASSESSORIA E CONSULTORIA EM PROJETOS CULTURAIS (Secundário)";Caminhadas ,Visitas as atividades agropecuárias/de transformação das propriedades rurais ,Turismo Cívico (ou visitas a monumentos e celebrações cívicas) ,Turismo Cinematográfico ,Turismo Religioso (ou visitas a espaços e eventos religiosos) ,Turismo Gastronômico (ou visitas gastronômicas) ,Turismo Místico/Esotérico (ou visita a lugares místicos ou esotéricos) ,Passeios para estâncias hidrominerais, spas, balneários, resort, clínicas naturalistas;Turismo Cultural,Turismo de Negócios e Eventos,Estudos e Intercâmbio;Espanhol ,Italiano ,Francês ,Inglês
ENERMECIO AMARO CONCEIÇÃO DE LIMA - ME;MERCIO.SUB;"13.403.428/0001-27";Empresário Individual (Não MEI);;Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Operação de Serviços Especializados;57.955.000;AL;Maragogi;Maragogi;RUA PREFEITO JOSÉ CASSIANO, 97 - ADELIA LYRA;(82) 99113-8873;;enermeciolima@hotmail.com;;;"02.080326.75.0001-6";"7490-1/02-ESCAFANDRIA E MERGULHO; SERVIÇOS DE (Secundário)";Serviços de Escafandria e Mergulho;Turismo Náutico,Turismo de Pesca,Turismo de Sol e Praia;Nenhuma das Opções
ELISABETH FONTANELLA ME;POUSADA NUMEIDUMATO SITIO TERTULIA;"04.398.834/0001-58";Empresário Individual (Não MEI);;Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Operação de Serviços Especializados;37.620.000;MG;Munhoz;Munhoz;ESTRADA RIBEIRÃO FUNDO, KM 5;(35) 99747-8893;;numeidumato@numeidumato.com.br;elisabethfontanella@hotmail.com;www.numeidumato.com.br;"11.089254.75.0001-5";"5590-6/02-CAMPING; SERVIÇO DE ALOJAMENTO (Secundário), 5510-8/01-HOTEL COM OU SEM SERVIÇO DE RESTAURANTE (Secundário), 9329-8/99-OUTRAS ATIVIDADES DE RECREAÇÃO E LAZER NÃO ESPECIFICADAS ANTERIORMENTE     (Secundário)";Caminhadas ,Observação da fauna ,Observação da flora ,Observação de formações geológicas ,Observação astronômica ,Espeleoturismo ,Turismo fora de estrada em veículos 4 X 4 ou bugue ,Visitas as atividades agropecuárias/de transformação das propriedades rurais ,Montanhismo ,Turismo Religioso (ou visitas a espaços e eventos religiosos) ,Turismo Gastronômico (ou visitas gastronômicas);Ecoturismo,Turismo Rural;Inglês
SERVIÇO SOCIAL DO COMERCIO SESC;HOTEL SESC PORTO CERCADO;"33.469.164/0006-26";Serviço Social Autônomo;;Empresa de Médio ou Grande Porte;Em Operação;Prestador Especializado em Segmentos Turísticos;Venda ou Locação de Produtos e Equipamentos;78.175.000;MT;Poconé;Poconé;ROD. POCONE X PORTO CERCADO, MT 370, KM 43;(65) 3335-5100;(65) 3335-5100;secretaria@sescpantanal.com.br;;;"13.005984.75.0006-5";"9329-8/99-OUTRAS ATIVIDADES DE RECREAÇÃO E LAZER NÃO ESPECIFICADAS ANTERIORMENTE     (Primário)";Venda de Artigos de Artesanato ,Locação de Bicicletas para Fins Recreativos;Ecoturismo,Turismo de Negócios e Eventos;Inglês
SERGIO HENRIQUE MOURAO FARIA-MEI;AGENCIA ENCANTOS DE MINAS;"15.376.871/0001-81";Microempreendedor Individual (MEI);;Mei;Em Operação;Prestador Especializado em Segmentos Turísticos;Operação de Serviços Especializados;35.905.000;MG;Ipoema;Ipoema;RUA JOSE VERÍSSIMO, 100 - CENTRO;(31) 99664-2735;;sergiohmourao@uol.com.br;;;"11.092158.75.0001-0";"7912-1/00-ORGANIZADORES DE VIAGEM; SERVIÇOS DE (Secundário), 7912-1/00-OPERAÇÃO DE TURISMO; SERVIÇOS DE (Secundário), 7912-1/00-OPERAÇÕES DE VIAGEM; SERVIÇOS DE (Secundário), 7990-2/00-TURISMO LOCAL; PROMOÇÃO DE (Secundário), 7990-2/00-TURISMO; SERVIÇOS DE INFORMAÇÃO E ASSISTÊNCIA AO (Secundário), 7319-0/04-CONSULTORIA EM PUBLICIDADE E PROPAGANDA (Secundário), 7912-1/00-ORGANIZAÇÃO DE ROTEIROS TURÍSTICOS; SERVIÇOS DE (Secundário), 9329-8/99-OUTRAS ATIVIDADES DE RECREAÇÃO E LAZER NÃO ESPECIFICADAS ANTERIORMENTE     (Secundário)";Caminhadas ,Observação da flora ,Turismo Cívico (ou visitas a monumentos e celebrações cívicas) ,Turismo Cinematográfico ,Turismo Religioso (ou visitas a espaços e eventos religiosos);Turismo de Negócios e Eventos,Turismo Rural,Estudos e Intercâmbio;Espanhol ,Inglês
IVAN BONGIOVANI JUNIOR 097.074.827-29;PREVESEG-ES PREVENÇÃO E SEGURANÇA ESPIRITO SANTO;"13.574.529/0001-60";Microempreendedor Individual (MEI);;Mei;Em Operação;Prestador Especializado em Segmentos Turísticos;Serviços de Treinamento, Instrução ou Qualificação;29.115.102;ES;Vila Velha;Paul;RUA BERNARDINO MONTEIRO, 287;(27) 3059-8804;;preveseg-es@hotmail.com;juniorbongio@hotmail.com;www.preveseg.com.br;"08.082259.75.0001-1";"7990-2/00-TURISMO LOCAL; PROMOÇÃO DE (Secundário)";Cursos, Treinamentos ou Qualificações para Prestadores de Serviços Turísticos;Turismo de Aventura;Nenhuma das Opções
TRILHA COMUNICAÇÃO EIRELI-EPP;TRILHA COMUNICAÇÃO;"37.025.012/0001-80";Empresa Individual (EIRELI);"01/10/1991";Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Serviços de Consultoria;74.935.900;GO;Aparecida de Goiânia;Cidade Vera Cruz;AV SEGUNDA AVENIDA SN QD: 1B LOT:48E SALA 904 EDIF MONTREAL OFFICE COND EMPRESARIAL VILLAGE;(62) 3097-6688;(62) 3097-6688;joaoluis@trilhacomunicacao.com.br;;WWW.3MILENIUM.COM.BR;"09.021886.75.0001-7";"7319-0/04-CONSULTORIA EM PUBLICIDADE E PROPAGANDA (Secundário)";Consultoria em Marketing;Turismo de Negócios e Eventos;Inglês
LANCHONETE NOVA SKINA LTDA ME;CASA CANELLA;"07.448.393/0001-40";Sociedade Empresária;;Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Venda ou Locação de Produtos e Equipamentos;29.650.000;ES;Santa Teresa;Santa Teresa;RUA JERÔNIMO VERVLOET;(27) 3259-2262;;leonilah@gmail.com;;;"08.060405.75.0001-5";"4789-0/01-ARTIGOS DE ARTESANATO; COMÉRCIO VAREJISTA (Secundário)";Venda de Artigos de Artesanato;Turismo Cultural;Nenhuma das Opções
GANESH MERGULHOS LTDA  - ME;GANESH MERGULHOS LTDA;"12.828.941/0001-05";Sociedade Empresária;;Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Operação de Serviços Especializados;55.590.000;PE;Ipojuca;Ipojuca;RUA DA ESPERANÇA N ° 194 LOJA 07;(81) 3552-1633;(81) 8509-8909;josebaratella@hotmail.com;;;"16.048532.75.0001-4";"8591-1/00-MERGULHO; ENSINO, CURSO, ESCOLA DE (Primário)";Serviços de Escafandria e Mergulho ,Passeios em barcos e lanchas;Turismo de Aventura,Turismo de Esporte,Turismo Náutico;Alemão ,Espanhol ,Italiano ,Inglês
M L SOUTO DA SILVA;AMAZON CHOPPER TOUR;"23.146.151/0001-58";Microempreendedor Individual (MEI);;Mei;Em Operação;Prestador Especializado em Segmentos Turísticos;Operação de Serviços Especializados;69.057.040;AM;Manaus;Adrianópolis;RUA SALVADOR, Nº 120, ED. VIEIRALVES BUSINESS CENTER, SALA 1203;(92) 99202-7008;(92) 99606-9606;msouto9606@me.com;;www.amazonchopper.com.br;"03.078541.75.0001-8";"7912-1/00-OPERAÇÕES DE VIAGEM; SERVIÇOS DE (Secundário), 5112-9/99-VÔO PANORÂMICO; SERVIÇOS DE (Secundário)";Serviços de Vôo Panorâmico;Ecoturismo,Turismo de Negócios e Eventos,Turismo de Pesca;Nenhuma das Opções
MAR DE NORONHA LTDA-ME;MERGULHOS;"20.411.470/0001-55";Sociedade Empresária;;Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Operação de Serviços Especializados;53.990.000;PE;Fernando de Noronha;Fernando de Noronha;R S.MIGUEL Nº113 VILA DOS REMÉDIOS;(81) 3619-0124;;bianca_moreno@hotmail.com;;;"16.077378.75.0001-9";"8591-1/00-MERGULHO; ENSINO, CURSO, ESCOLA DE (Primário)";Serviços de Escafandria e Mergulho;Ecoturismo,Turismo de Aventura,Turismo Náutico;Espanhol ,Inglês
AMAZON PARTS LTDA-ME;AMAZON PARTS;"23.739.526/0001-93";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Prestador Especializado em Segmentos Turísticos;Operação de Serviços Especializados;69.035.090;AM;Manaus;Compensa;RUA PE. AGOSTINHO CABALLERO MARTIN;(92) 99180-1871;;rosemnsantos@hotmail.com;;;"03.077562.75.0001-3";"7990-2/00-SERVIÇOS DE RESERVAS E OUTROS SERVIÇOS DE TURISMO NÃO ESPECIFICADOS ANTERIORMENTE  (Secundário)";Passeios em barcos e lanchas ,Pesca embarcada ,Passeios para estâncias hidrominerais, spas, balneários, resort, clínicas naturalistas;Turismo Náutico,Turismo de Pesca;Inglês
ESTANCIA CABANAS DO RIO QUENTE;ECO CHALES;"01.787.563/0001-34";Sociedade Empresária;"20/11/2004";Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Operação de Serviços Especializados;75.690.000;GO;Caldas Novas;Caldas Novas;FAZENDA AGUA QUENTE S/N;(64) 3512-8088;(64) 3512-8088;sac@rioquenteresorts.com.br;;WWW.RIOQUENTERESORTS.COM.BR;"09.021893.75.0001-1";"5510-8/01-HOTEL (Primário), 9312-3/00-CLUBE DE VÔO (Secundário)";Caminhadas ,Canoagem;Turismo de Aventura,Turismo de Esporte;Nenhuma das Opções
LUIS FERREIRA DE ARRUDA NETO;REI DO RIO SUP;"27.024.083/0001-05";Microempreendedor Individual (MEI);;Mei;Em Operação;Prestador Especializado em Segmentos Turísticos;Venda ou Locação de Produtos e Equipamentos;79.310.030;MS;Corumbá;Maria Leite;R. SARGENTO AQUINO, 10;(67) 99885-4133;;luis_f.arruda@hotmail.com;montesiaoms@montesiaoms.com.br;;"12.086764.75.0001-7";"7990-2/00-SERVIÇOS DE RESERVAS E OUTROS SERVIÇOS DE TURISMO NÃO ESPECIFICADOS ANTERIORMENTE  (Primário)";Locação de Pranchas de Surfe;Turismo de Aventura,Turismo de Esporte,Turismo de Sol e Praia;Espanhol
MATRIX VIAGENS EIRELI ME;MATRIX VIAGENS;"24.380.739/0001-34";Empresa Individual (EIRELI);;Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Serviços de Consultoria;29.100.021;ES;Vila Velha;Centro;AVENIDA HENRIQUE MOSCOSO 1019/ SALA 413;(27) 3319-9048;(27) 3319-9048;nandatex1@gmail.com;;;"08.077848.75.0001-0";"7911-2/00-TURISMO; AGÊNCIA DE (Primário), 7912-1/00-OPERAÇÃO DE TURISMO; SERVIÇOS DE (Secundário), 7990-2/00-TURISMO; SERVIÇOS DE INFORMAÇÃO E ASSISTÊNCIA AO (Secundário), 8230-0/01-SHOW-ROOM; GESTÃO DE (Secundário)";Serviços de Gestão, Assessoria, Consultoria, Orientação e Assistência Prestados em Projetos Turísticos;Turismo Cultural;Nenhuma das Opções
ASTRID ZIEGLER DE LIMA 63786010978;CANECARTE;"23.604.781/0001-29";Microempreendedor Individual (MEI);;Mei;Em Operação;Prestador Especializado em Segmentos Turísticos;Venda ou Locação de Produtos e Equipamentos;88.790.000;SC;Laguna;Laguna;EST GERAL BARBACENA, SN;(48) 99931-0182;;astridartesanatos@gmail.com;;;"24.086411.75.0001-1";"4789-0/01-ARTIGOS DE ARTESANATO; COMÉRCIO VAREJISTA (Secundário)";Venda de Artigos de Artesanato;Turismo de Negócios e Eventos;Alemão
STAR PRODUÇÕES E EVENTOS LTDA - ME;STAR PRODUÇÕES;"00.499.505/0001-42";Sociedade Empresária;"24/03/1995";Empresa de Médio ou Grande Porte;Em Operação;Prestador Especializado em Segmentos Turísticos;Operação de Serviços Especializados;61.605.075;CE;Caucaia;Açude;TRAVESSA JOSÉ DA ROCHA SALES, 54;(85) 98661-1795;(85) 98788-7838;mazelimastarr@gmail.com;;;"06.019265.75.0001-1";"9001-9/02-EVENTOS MUSICAIS; ORGANIZAÇÃO DE, PROMOÇÃO DE (Primário), 7911-2/00-AGÊNCIA DE VIAGEM; SERVIÇO DE (Secundário), 8550-3/02-ATIVIDADES DE APOIO À EDUCAÇÃO; GESTÃO, ASSESSORIA, CONSULTORIA, ORIENTAÇÃO E ASSISTÊNCIA (Secundário), 7739-0/03-ALUGUEL DE PALCOS, COBERTURAS E OUTRAS ESTRUTURAS DE USO TEMPORÁRIO, EXCETO ANDAIMES (Secundário)";Turismo Cívico (ou visitas a monumentos e celebrações cívicas);Turismo Cultural,Turismo de Negócios e Eventos,Turismo de Sol e Praia;Nenhuma das Opções
ANTONIO CLAUDIO DE AZEVEDO JUNIOR 21733653805;OCEANO SUB ATIVIDADES SUBAQUATICAS;"13.437.914/0001-66";Microempreendedor Individual (MEI);;Mei;Em Operação;Prestador Especializado em Segmentos Turísticos;Operação de Serviços Especializados;8.674.011;SP;Suzano;Centro;RUA BENJAMIN CONSTANT 697 SALA 3;(11) 4256-1617;;mergulho@ymail.com;;;"26.090685.75.0001-6";"7490-1/02-ESCAFANDRIA E MERGULHO; SERVIÇOS DE (Primário), 7912-1/00-OPERAÇÃO DE TURISMO; SERVIÇOS DE (Secundário)";Serviços de Escafandria e Mergulho;Ecoturismo,Turismo de Esporte;Espanhol ,Inglês
AQUAMARINA MERGULHO LTDA  - ME;AGUAMARINA MERGULHO LTDA;"11.472.740/0001-47";Sociedade Empresária;;Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Operação de Serviços Especializados;55.590.000;PE;Ipojuca;Ipojuca;RUA DR . MANOEL LUIZ CAVALCANTE UCHOA , S/N ,1 ° ANDAR LOJAS  04 E 05;(81) 3552-2584;;aquamarinamergulhos@hotmail.com;;;"16.065044.75.0001-1";"8591-1/00-MERGULHO; ENSINO, CURSO, ESCOLA DE (Primário)";Serviços de Escafandria e Mergulho;Turismo de Esporte,Turismo Náutico;Espanhol
ARNS & YOSHIDA CONSULTORIA, PLANEJAMENTO E PROJETOS LTDA - EPP;PRISMATI CONSULTORIA, PLANEJAMENTO E PROJETOS;"13.493.266/0001-65";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Prestador Especializado em Segmentos Turísticos;Serviços de Consultoria;71.680.357;DF;Lago Sul;Setor de Habitações Individuais Sul;COND. VILLA DE MONTAGNE QD. 25 LOTE 30 ;(61) 98138-0941;;papulo.arns@prismeticonsultoria.com.br;vbbahia@gmail.com;;"07.079817.75.0001-0";"7490-1/99-ASSESSORIA E CONSULTORIA EM PROJETOS CULTURAIS (Primário)";Serviços de Gestão, Assessoria, Consultoria, Orientação e Assistência Prestados em Projetos Turísticos;;Espanhol
ME COMERCIO, ASSESSORIA E EVENTOS EDUCACIONAIS LTDA-ME;ME COMERCIO, ASSESSORIA E EVENTOS EDUCACIONAIS LTDA-ME;"26.757.330/0001-10";Sociedade Empresária;;Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Operação de Serviços Especializados;3.067.040;SP;São Paulo;Tatuapé;RUA ARTUR MENDONÇA, 216;(11) 3459-4847;;mike@cia-agency.com;martaestrelad@gmail.com;www.cia-agency.com;"26.088395.75.0001-9";"7990-2/00-TURISMO; SERVIÇOS DE INFORMAÇÃO E ASSISTÊNCIA AO (Secundário)";Turismo Místico/Esotérico (ou visita a lugares místicos ou esotéricos);Turismo Cultural,Turismo de Negócios e Eventos,Estudos e Intercâmbio;Espanhol ,Inglês
RADICAL EXTREME SPORTS LTDA ME;RADICAL EXTREME SPORTS LTDA ME;"24.504.541/0001-15";Sociedade Empresária;;Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Operação de Serviços Especializados;89.295.000;SC;Rio Negrinho;Rio Negrinho;RUA ADOLFO OLSEN, 1465 - CRUZEIRO;(47) 8863-5130;;dirpscheidt@gmail.com;;;"24.081515.75.0001-3";"5590-6/02-CAMPING; SERVIÇO DE ALOJAMENTO (Secundário), 9329-8/99-OUTRAS ATIVIDADES DE RECREAÇÃO E LAZER NÃO ESPECIFICADAS ANTERIORMENTE     (Secundário)";Caminhadas ,Tirolesa ,Observação da fauna ,Observação da flora ,Cavalgadas ,Pesca desembarcada;Ecoturismo,Turismo de Aventura,Turismo de Esporte;Nenhuma das Opções
RIO ECOESPORTE SERVICOS TURISTICOS EIRELI EPP;RIO ECOESPORTE;"28.733.631/0001-39";Empresa Individual (EIRELI);;Empresa de Pequeno Porte;Em Operação;Prestador Especializado em Segmentos Turísticos;Operação de Serviços Especializados;20.040.030;RJ;Rio de Janeiro;Centro;RUA DO OUVIDOR 00130 SALA 614;(21) 3495-4247;;gel@rioecoesporte.com.br;;www.rioecoesporte.com;"19.091625.75.0001-7";"7990-2/00-SERVIÇOS DE RESERVAS E OUTROS SERVIÇOS DE TURISMO NÃO ESPECIFICADOS ANTERIORMENTE  (Secundário), 8230-0/01-SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS (Secundário)";Serviços de Vôo Panorâmico ,Caminhadas ,Parapente ,Rapel;;Espanhol ,Inglês
JAIRO BRASIL GONÇALVES DE OLIVEIRA 204.181.671-68;PORTO SEGURO RESERVAS;"20.272.292/0001-29";Microempreendedor Individual (MEI);;Mei;Em Operação;Prestador Especializado em Segmentos Turísticos;Operação de Serviços Especializados;45.810.000;BA;Porto Seguro;Porto Seguro;AVENIDA DOS NAVEGANTES, 1591 SALA 01 - BAIRRO ANTONIO TITO;(73) 3268-4410;;jairobrasil@portoseguroreservas.com.br;;www.portoseguroreservas.com.br;"05.074814.75.0001-2";"7990-2/00-SERVIÇOS DE RESERVAS E OUTROS SERVIÇOS DE TURISMO NÃO ESPECIFICADOS ANTERIORMENTE  (Primário), 7990-2/00-TURISMO LOCAL; PROMOÇÃO DE (Secundário), 7990-2/00-TURISMO; SERVIÇOS DE INFORMAÇÃO E ASSISTÊNCIA AO (Secundário)";Passeios em barcos e lanchas ,Turismo Cívico (ou visitas a monumentos e celebrações cívicas) ,Turismo Religioso (ou visitas a espaços e eventos religiosos);Turismo de Aventura,Turismo de Negócios e Eventos,Turismo de Sol e Praia;Espanhol
